Имя тега;Метка времени;Значение;Статус.Качество;Статус.Код;Статус.Описание;Аннотация
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_PI_300H_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-104.384895";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_PI_300I_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-147.56091";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_PI_308B_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-541.569";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_PI_308D_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-129.26328";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_PI_309B_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-220.7078";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_PI_310B_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"3.5700204";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_PI_311A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-3.3573844";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_PI_311B_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-1.3369812";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_TI_300A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"104.76985";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_TI_300D_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"355.56302";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_TI_300G_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"1100.6537";Good;0;"";"";
"AP_CS_SRV1.OUA_R.UB_Steam3.Boiler3_TI_308A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"191.8126";Good;0;"";"";
