Имя тега;Метка времени;Значение;Статус.Качество;Статус.Код;Статус.Описание;Аннотация
"DB25_DBW52";Tue Aug 15 2023 12:41:33 GMT+0300 (Москва, стандартное время);"690";Good;0;"";"";
"BRAZ.LP.LO2.LA4.MS5.N1";;"";;;"";"";
"BRAZ.LP.LO2.LA4.MS6.N2";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS1.N3";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS2.N4";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS1.N5";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS2.N6";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS1.N7";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS2.N8";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS1.N9";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS2.N10";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW6.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW8.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW206.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW208.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW406.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW408.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW606.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW608.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW806.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW808.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW1006.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW1008.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW1206.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW1208.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW1406.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW1408.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW1606.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW1608.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW1806.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW1808.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW2006.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW2008.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW2206.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.LITE00.T.T.PLC1/DB2_DBW2208.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.MIKS17.T.T.DB13_DBD16.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.MIKS17.T.X.DB13_DBD20.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.MIKS18.T.T.DB13_DBD28.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB7.MIKS18.T.X.DB13_DBD32.PV.R";;"";;;"";"";
"KRAZ.LP.L1.LB3.MIKS31.T.T.MD60.PV.R";Wed Aug 16 2023 03:20:49 GMT+0300 (Москва, стандартное время);"723.0800170898438";Good;0;"";"";
"KRAZ.LP.L1.LB3.MIKS32.T.T.MD36.PV.R";Wed Aug 16 2023 03:14:04 GMT+0300 (Москва, стандартное время);"708.5800170898438";Good;0;"";"";
"KRAZ.LP.L1.LB4.MIKS41.T.T.DB207_DBD104.PV.R";Wed Aug 16 2023 03:21:04 GMT+0300 (Москва, стандартное время);"747.3451538085938";Good;0;"";"";
"KRAZ.LP.L1.LB4.MIKS41.T.S.DB5_DBW84.PV.R";Wed Aug 16 2023 03:07:04 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
