Имя тега;Метка времени;Значение;Статус.Качество;Статус.Код;Статус.Описание;Аннотация
"EP_S2_PLC2.S7_N.Crane23.DB11111_DBD80";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"7565.89";Good;0;"";"";
"EP_S2_PLC2.S7_N.Crane23.DB11111_DBD92";Mon Aug 21 2023 04:20:28 GMT+0300 (Москва, стандартное время);"5.116667";Good;0;"";"";
"EP_S1_PLC5.S7_N.Crane31.DB11111_DBD104";;"";;;"";"";
"EP_S1_PLC5.S7_N.Crane31.DB11111_DBD20";;"";;;"";"";
"EP_S1_PLC5.S7_N.Crane31.DB11111_DBD32";;"";;;"";"";
"EP_S3_PLC1.S7_N.Crane31.DB11111_DBD4";Mon Aug 21 2023 11:26:43 GMT+0300 (Москва, стандартное время);"33";Good;0;"";"";
"EP_S1_PLC5.S7_N.Crane31.DB11111_DBD44";;"";;;"";"";
"EP_S1_PLC5.S7_N.Crane31.DB11111_DBD56";;"";;;"";"";
"EP_S1_PLC5.S7_N.Crane31.DB11111_DBD68";;"";;;"";"";
"EP_S1_PLC5.S7_N.Crane31.DB11111_DBD80";;"";;;"";"";
"EP_S1_PLC5.S7_N.Crane31.DB11111_DBD92";;"";;;"";"";
"EP_S1_PLC6.S7_N.Crane33.DB11111_DBD104";;"";;;"";"";
"EP_S1_PLC6.S7_N.Crane33.DB11111_DBD20";;"";;;"";"";
"EP_S1_PLC6.S7_N.Crane33.DB11111_DBD32";;"";;;"";"";
"EP_S3_PLC2.S7_N.Crane33.DB11111_DBD4";Mon Aug 21 2023 11:21:44 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EP_S1_PLC6.S7_N.Crane33.DB11111_DBD44";;"";;;"";"";
"EP_S1_PLC6.S7_N.Crane33.DB11111_DBD56";;"";;;"";"";
"EP_S1_PLC6.S7_N.Crane33.DB11111_DBD68";;"";;;"";"";
"EP_S1_PLC6.S7_N.Crane33.DB11111_DBD80";;"";;;"";"";
"EP_S1_PLC6.S7_N.Crane33.DB11111_DBD92";;"";;;"";"";
"EP_S1_PLC7.S7_N.Crane41.DB11111_DBD104";;"";;;"";"";
"EP_S1_PLC7.S7_N.Crane41.DB11111_DBD20";;"";;;"";"";
"EP_S1_PLC7.S7_N.Crane41.DB11111_DBD32";;"";;;"";"";
"EP_S4_PLC1.S7_N.Crane41.DB11111_DBD4";Mon Aug 21 2023 09:19:14 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EP_S1_PLC7.S7_N.Crane41.DB11111_DBD44";;"";;;"";"";
"EP_S1_PLC7.S7_N.Crane41.DB11111_DBD56";;"";;;"";"";
"EP_S1_PLC7.S7_N.Crane41.DB11111_DBD68";;"";;;"";"";
"EP_S1_PLC7.S7_N.Crane41.DB11111_DBD80";;"";;;"";"";
"EP_S1_PLC7.S7_N.Crane41.DB11111_DBD92";;"";;;"";"";
"EP_S1_PLC8.S7_N.Crane43.DB11111_DBD104";;"";;;"";"";
"EP_S1_PLC8.S7_N.Crane43.DB11111_DBD20";;"";;;"";"";
"EP_S1_PLC8.S7_N.Crane43.DB11111_DBD32";;"";;;"";"";
"EP_S4_PLC2.S7_N.Crane43.DB11111_DBD4";Mon Aug 21 2023 11:26:43 GMT+0300 (Москва, стандартное время);"29";Good;0;"";"";
"EP_S1_PLC8.S7_N.Crane43.DB11111_DBD44";;"";;;"";"";
"EP_S1_PLC8.S7_N.Crane43.DB11111_DBD56";;"";;;"";"";
"EP_S1_PLC8.S7_N.Crane43.DB11111_DBD68";;"";;;"";"";
"EP_S1_PLC8.S7_N.Crane43.DB11111_DBD80";;"";;;"";"";
"EP_S1_PLC8.S7_N.Crane43.DB11111_DBD92";;"";;;"";"";
"EP_S1_PLC9.S7_N.Crane51.DB11111_DBD104";;"";;;"";"";
"EP_S1_PLC9.S7_N.Crane51.DB11111_DBD20";;"";;;"";"";
"EP_S1_PLC9.S7_N.Crane51.DB11111_DBD32";;"";;;"";"";
"EP_S5_PLC1.S7_N.Crane51.DB11111_DBD4";Mon Aug 21 2023 11:26:43 GMT+0300 (Москва, стандартное время);"36";Good;0;"";"";
"EP_S1_PLC9.S7_N.Crane51.DB11111_DBD44";;"";;;"";"";
"EP_S1_PLC9.S7_N.Crane51.DB11111_DBD56";;"";;;"";"";
"EP_S1_PLC9.S7_N.Crane51.DB11111_DBD68";;"";;;"";"";
"EP_S1_PLC9.S7_N.Crane51.DB11111_DBD80";;"";;;"";"";
"EP_S1_PLC9.S7_N.Crane51.DB11111_DBD92";;"";;;"";"";
"KRAZ.EP.E1.KR2.ZZZZ00.T.T.EP_S2_PLC1_S7_N_CRANE21_DB11111_DBD4.PV.R";Mon Aug 21 2023 11:26:43 GMT+0300 (Москва, стандартное время);"35";Good;0;"";"";
"EP_S1_PLC10.OUA_N.E115_116.EP102_I_NOMINAL";;"";;;"";"";
"EP_S1_PLC11.OUA_N.E117_118.EP102_I_NOMINAL";;"";;;"";"";
"EP_S1_PLC12.OUA_N.E119_120.EP102_I_NOMINAL";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP101_POT_STATUS";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP101_APG";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP101_APG_MODE";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP101_CONTROL_MODE";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP101_COUNT";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP101_DNOISE";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP101_I_NOMINAL";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP101_NO_POWER_SUPPLY_APG";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP101_NUMBER";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP101_POURING";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP101_POURING_NOT_POSSIBLE";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP101_TUAPG";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP101_TUAPG_MODE";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP101_UDEKR";Fri Aug 18 2023 10:59:22 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP101_UN";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP101_UTARG";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP101_UW";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP102_APG";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP102_APG_MODE";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP102_CONTROL_MODE";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP102_COUNT";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP102_DNOISE";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP102_I_NOMINAL";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP102_NO_POWER_SUPPLY_APG";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP102_NUMBER";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP102_POT_STATUS";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP102_POURING";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP102_POURING_NOT_POSSIBLE";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP102_TUAPG";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP102_TUAPG_MODE";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP102_UDEKR";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP102_UN";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP102_UTARG";;"";;;"";"";
"EP_S1_PLC3.OUA_N.E101_102.EP_S1_PLC3_OUA_N_E101_102_EP102_UW";;"";;;"";"";
