Имя тега;Метка времени;Значение;Статус.Качество;Статус.Код;Статус.Описание;Аннотация
"EN_HS_SRV1.OUA_R.SteamPipe.P_Steam_CPFS_1";Mon Aug 21 2023 09:35:31 GMT+0300 (Москва, стандартное время);"0";Undefined;64;"";"";
"EN_HS_SRV1.OUA_R.SteamPipe.P_Steam_Khamz_PSW";Mon Aug 21 2023 13:30:44 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EN_HS_SRV1.OUA_R.SteamPipe.T_Pair_On_PSW125";Mon Aug 21 2023 13:29:41 GMT+0300 (Москва, стандартное время);"48";Good;0;"";"";
"EN_HS_SRV1.OUA_R.SteamPipe.T_Steam_CPFS";Mon Aug 21 2023 13:14:59 GMT+0300 (Москва, стандартное время);"228";Good;0;"";"";
"EN_HS_SRV1.OUA_R.SteamPipe.T_Steam_CPFS_1";Mon Aug 21 2023 09:35:31 GMT+0300 (Москва, стандартное время);"0";Undefined;64;"";"";
"EN_HS_SRV1.OUA_R.SteamPipe.T_Steam_Khamz_PSW";Mon Aug 21 2023 11:40:28 GMT+0300 (Москва, стандартное время);"32";Good;0;"";"";
"EN_WS_PLC1.S7_N.PS.test_tag";Mon Aug 21 2023 11:32:00 GMT+0300 (Москва, стандартное время);"-7.2759723e+22";Good;0;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.ColorV1";Fri Aug 18 2023 11:07:53 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.ColorV10";Fri Aug 18 2023 11:07:53 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.ColorV2";Fri Aug 18 2023 11:07:53 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.ColorV3";Fri Aug 18 2023 11:07:53 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.ColorV4";Fri Aug 18 2023 11:07:53 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.ColorV5";Fri Aug 18 2023 11:07:53 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.ColorV6";Fri Aug 18 2023 11:07:53 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.ColorV7";Fri Aug 18 2023 11:07:53 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.ColorV8";Fri Aug 18 2023 11:07:53 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.ColorV9";Fri Aug 18 2023 11:07:53 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.Cons_press_coll_1";Mon Aug 21 2023 13:33:44 GMT+0300 (Москва, стандартное время);"120";Good;0;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.Cons_press_coll_1_max";Mon Aug 21 2023 11:31:30 GMT+0300 (Москва, стандартное время);"1143930900";Good;0;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.Cons_press_coll_1_min";Mon Aug 21 2023 11:31:30 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.Cons_press_coll_2";Mon Aug 21 2023 13:33:46 GMT+0300 (Москва, стандартное время);"124";Good;0;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.Cons_press_coll_2_max";Mon Aug 21 2023 11:31:30 GMT+0300 (Москва, стандартное время);"1143930900";Good;0;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.Cons_press_coll_2_min";Mon Aug 21 2023 11:31:30 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.f_level_pr1";Mon Aug 21 2023 13:33:43 GMT+0300 (Москва, стандартное время);"4";Good;0;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.f_level_pr2";Mon Aug 21 2023 13:33:45 GMT+0300 (Москва, стандартное время);"4";Good;0;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.Level_well";Mon Aug 21 2023 13:32:43 GMT+0300 (Москва, стандартное время);"6.2363286";Good;0;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.P_press_coll_1";Mon Aug 21 2023 13:32:45 GMT+0300 (Москва, стандартное время);"9.382234";Good;0;"";"";
"EN_WS_SRV1.ODA_N.WasteWater.P_press_coll_1_max";Mon Aug 21 2023 11:31:30 GMT+0300 (Москва, стандартное время);"1103626200";Good;0;"";"";
